"","name","network","agent","start","end","open","lat","lon"
"199","Auckland,Oratia","A64961",1462,1970-12-31,1979-06-30,FALSE,-36.904,174.62
"200","Ngatea 1","B75252",1539,1970-12-31,1975-01-31,FALSE,-37.262,175.523
"201","Takatu, Matakana","A64372",1358,1970-12-31,1972-05-31,FALSE,-36.375,174.767
"202","Te Puke Ews","B76838",12428,1996-05-31,2024-08-24,TRUE,-37.82274,176.32072
"203","Matamata, Hinuera Ews","B75875",17030,1998-12-22,2024-08-24,TRUE,-37.87683,175.73496
"204","Whatawhata 2 Ews","C75701",25162,2003-11-11,2024-08-24,TRUE,-37.78832,175.06906
"205","Hamilton, Ruakura 2 Ews","C75734",26117,2005-11-10,2024-08-24,TRUE,-37.77389,175.30517
"206","Tarapounamu Ews","B86682",26719,2006-08-11,2024-08-24,TRUE,-38.61841,176.87388
"207","Pureora Forest Cws","C85552",37016,2009-04-18,2024-08-24,TRUE,-38.517,175.58
"208","Lake Karapiro Cws","C75955",37656,2009-10-14,2024-08-24,TRUE,-37.9245,175.5396
"209","Firth Of Thames Ews","C75241",38619,2010-11-11,2024-08-24,TRUE,-37.21514,175.45045
"210","Whitianga Ews","B65863",40981,2015-08-20,2024-08-24,TRUE,-36.82817,175.67231
"211","Rotorua Ews","B86128",41077,2015-09-25,2024-08-24,TRUE,-38.14635,176.2578
"212","Waikeria Ews","C85034",41389,2016-03-24,2024-08-24,TRUE,-38.09468,175.3876
"213","Taupo Cws","B86609",41429,2016-04-23,2024-08-24,TRUE,-38.67812,176.07956
"214","Tauranga Cws","B76612",41428,2016-05-06,2024-08-24,TRUE,-37.6741,176.16303
"215","Whakatane Ews","B76999",40982,2016-12-18,2024-08-24,TRUE,-37.94815,176.96773
"216","Thames Ews","B75153",45320,2022-08-17,2024-08-24,TRUE,-37.1585,175.55138
"217","Mangatawhiri Dam Ews","O01250",45934,2023-11-29,2024-08-24,TRUE,-37.09056,175.15515
"218","Tauranga Aero Aws","B76624",1615,1990-05-31,2024-08-23,TRUE,-37.67478,176.19236
"219","Hamilton Aero Aws","C75834",2112,1990-05-31,2024-08-23,TRUE,-37.86088,175.33175
"220","Taupo Aero Aws","B86704",1858,1990-05-31,2024-08-23,TRUE,-38.74252,176.08105
"221","Whakatane Aero Aws","B76995",1673,1990-08-06,2024-08-23,TRUE,-37.92478,176.91857
"222","Whitianga Aero Aws","B65862",1520,1990-08-31,2024-08-23,TRUE,-36.83237,175.67542
"223","Rotorua Aero Aws","B86133",1770,1991-12-19,2024-08-23,TRUE,-38.10592,176.31481
"224","Galatea Aws","B86476",37652,2009-10-06,2024-08-23,TRUE,-38.4084,176.74233
"225","Mamaku Radar Wxt Aws","B86003",38671,2010-08-21,2024-08-23,TRUE,-38.066,176.062
"226","Kawerau Aws","B86075",36750,2009-02-10,2024-08-21,TRUE,-38.08736,176.6997
"227","Paeroa Aws","B75362",1547,1990-09-30,2023-02-01,FALSE,-37.37065,175.68372
"228","Thames 2","B75152",1529,1957-10-01,2022-07-31,FALSE,-37.15858,175.55137
"229","White Island Aws","B77511",31828,2007-03-08,2019-12-08,FALSE,-37.51668,177.17732
"230","Toenepi Ews","B75752",23908,2002-06-19,2019-06-08,FALSE,-37.71958,175.58528
"231","Holland Road, Hamilton Cws","B75735",26645,2014-04-02,2018-02-12,FALSE,-37.748,175.367
"232","Otamatuna, Te Mapou Hut Cws","B87314",37239,2009-07-08,2017-06-27,FALSE,-38.33334,177.16288
"233","Taupo Wxt Aws","B86608",37869,2009-12-18,2016-07-07,FALSE,-38.684,176.072
"234","Waikeria 2","C85132",2197,1977-04-30,2016-03-30,FALSE,-38.091,175.39
"235","Opotiki","B87023",1874,1954-12-31,2014-10-31,FALSE,-38.00638,177.28706
"236","Tauranga Aerodrome","B76623",1614,2009-11-13,2010-01-25,FALSE,-37.67239,176.19671
"237","Whakamarama 1","B75792",1589,1984-02-29,2009-04-21,FALSE,-37.75186,175.96962
"238","Kawerau Temp Only","B86073",31829,2006-09-30,2009-03-25,FALSE,-38.087,176.7
"239","Hamilton, Ruakura Ews","C75733",12616,1996-10-25,2007-02-28,FALSE,-37.77879,175.31271
"240","Coromandel","B65752",1513,1978-04-30,2005-03-16,FALSE,-36.736,175.502
"241","Katikati 2","B75592",1569,1979-12-31,2004-11-30,FALSE,-37.547,175.945
"242","Whatawhata","C75801",2103,1952-08-20,2004-01-31,FALSE,-37.812,175.087
"243","Whakatane Motor Camp","B76996",7450,1991-12-31,2003-02-09,FALSE,-37.951,176.985
"244","Waimana","B87103",1883,1970-12-31,2002-06-30,FALSE,-38.146,177.079
"245","Waihi Gold Raws","B75382",1551,1989-12-31,2001-12-12,FALSE,-37.38833,175.87111
"246","Kawerau Ews","B86072",21866,2000-12-15,2001-10-31,FALSE,-38.04,176.753
"247","Te Aroha","B75571",1565,1950-12-31,1999-10-31,FALSE,-37.547,175.716
"248","Kaingaroa Forest","B86451",1819,1950-12-31,1999-03-31,FALSE,-38.41,176.56
"249","Hamilton, Ruakura","C75731",2101,1939-12-31,1997-03-06,FALSE,-37.78,175.313
"250","Te Puke Edr","B76836",1646,1986-03-02,1996-09-01,FALSE,-37.82,176.322
"251","Kawerau","B86071",1753,1954-02-09,1996-06-30,FALSE,-38.079,176.718
"252","Taupo N.Z.E.D.","B86602",1841,1949-12-31,1994-01-31,FALSE,-38.681,176.072
"253","Tauranga 4","B76611",1611,1969-12-31,1994-01-31,FALSE,-37.677,176.165
"254","Paeroa","B75361",1546,1970-12-31,1994-01-31,FALSE,-37.378,175.664
"255","Te Teko","B86083",1757,1970-12-31,1994-01-31,FALSE,-38.039,176.812
"256","Pureora Forest","C85551",2234,1971-12-31,1994-01-29,FALSE,-38.517,175.553
"257","Tairua Forest","B75182",1534,1970-12-31,1993-12-31,FALSE,-37.172,175.853
"258","Waitoa 2","B75663",1577,1986-10-07,1993-10-31,FALSE,-37.595,175.63
"259","Port Ohope","B77911",1703,1977-06-10,1993-02-28,FALSE,-37.986,177.112
"260","Rotorua Aero 2","B86131",1768,1971-12-31,1991-12-31,FALSE,-38.11065,176.31756
"261","Maramarua Forest","C75321",2075,1971-12-31,1991-10-20,FALSE,-37.306,175.253
"262","Te Kauwhata M.A.F.","C75412",2081,1954-01-31,1990-11-30,FALSE,-37.411,175.142
"263","Whakatane Aero","B76994",1672,1974-12-04,1990-08-23,FALSE,-37.92644,176.91807
"264","Cambridge 4","C75953",2128,1975-03-10,1990-03-31,FALSE,-37.919,175.498
"265","Kinleith 2","B85285",1723,1967-07-31,1990-03-13,FALSE,-38.28,175.888
"266","Waihi","B75381",1550,1950-12-31,1989-12-31,FALSE,-37.394,175.841
"267","Waimihia Forest","B86821",1861,1950-12-31,1989-12-31,FALSE,-38.806,176.251
"268","Atiamuri Power Stn","B86403",1806,1970-12-31,1989-12-31,FALSE,-38.396,176.021
"269","Taupo Aero","B86702",1856,1975-12-31,1989-12-07,FALSE,-38.74139,176.08251
"270","Whangapoua","B65753",1514,1989-03-06,1989-10-31,FALSE,-36.757,175.598
"271","Galatea 4","B86475",1823,1987-03-31,1989-09-29,FALSE,-38.418,176.791
"272","Arapuni Power Stn","C85061",2190,1950-12-31,1989-09-06,FALSE,-38.073,175.642
"273","Te Puke Dsir","B76835",1645,1972-12-31,1989-08-30,FALSE,-37.82,176.322
"274","Minginui Forest","B86671",1850,1970-12-31,1989-07-30,FALSE,-38.644,176.729
"275","Ohaaki","B86525",1829,1985-06-04,1989-06-30,FALSE,-38.528,176.292
"276","Mt Te Aroha Tv Stn","B75572",1566,1970-12-31,1989-06-29,FALSE,-37.537,175.741
"277","Ngatea 3","B75241",1537,1983-11-30,1989-04-30,FALSE,-37.281,175.498
"278","Tauranga Aero","B76621",1612,1941-01-31,1989-02-28,FALSE,-37.67242,176.19635
"279","Tikitere","B86034",1747,1977-07-31,1988-12-31,FALSE,-38.06,176.345
"280","Hamilton Aero","C75832",2110,1971-12-31,1988-09-29,FALSE,-37.86672,175.32873
"281","Rotoehu","B76851",1650,1988-06-30,1988-08-31,FALSE,-37.874,176.522
"282","Rotoehu Forest","B76951",1662,1950-12-31,1988-06-30,FALSE,-37.904,176.508
"283","Wairakei Power Stn","B86611",1845,1970-12-31,1988-06-29,FALSE,-38.628,176.103
"284","Whangapoua Forest","B65761",1515,1970-12-31,1988-06-29,FALSE,-36.76,175.601
"285","Wairakei Research Stn","B86612",1846,1964-05-31,1987-06-30,FALSE,-38.617,176.11
"286","Murupara","B86471",1820,1973-10-31,1987-06-30,FALSE,-38.459,176.695
"287","Wairapukao Forest","B86551",1834,1970-12-31,1987-02-27,FALSE,-38.535,176.571
"288","Edgecumbe Dairy Co","B76984",1668,1970-06-30,1987-01-31,FALSE,-37.98,176.834
"289","Waiotapu Forest","B86341",1797,1970-12-31,1986-12-31,FALSE,-38.314,176.422
"290","Waharoa 2","B75772",1585,1983-08-08,1986-09-29,FALSE,-37.759,175.776
"291","Huntly N.Z.E.D.","C75510",2085,1980-12-01,1986-07-31,FALSE,-37.544,175.147
"292","Whakamarama 2","B75793",1590,1984-02-29,1986-05-31,FALSE,-37.72,175.991
"293","Whakamarama Edr","B76603",1609,1985-05-12,1986-04-30,FALSE,-37.693,176
"294","Rukuhia","C75831",2109,1946-08-31,1984-09-30,FALSE,-37.83,175.3
