"","name","network","agent","start","end","open","lat","lon"
"391","St Bathans 3","I49883",5239,1992-08-07,1999-02-26,FALSE,-44.875,169.823
"392","Benmore Power Stn","I40511",5113,1986-07-09,1997-05-31,FALSE,-44.569,170.19
"393","Pukekura","F30061",4031,1982-11-26,1995-05-30,FALSE,-43.012,170.671
"394","Fox Glacier,Main Rd","F30402",4069,1973-06-30,1994-02-28,FALSE,-43.466,170.017
"395","Temuka","H41224",5075,1971-12-31,1994-01-31,FALSE,-44.25,171.285
"396","Ikawai","H40892",5041,1971-12-31,1994-01-31,FALSE,-44.873,170.939
"397","Kurow Area School","I40742",5122,1979-12-31,1994-01-31,FALSE,-44.733,170.467
"398","Oamaru, Spey St","I50093",5275,1982-03-18,1994-01-31,FALSE,-45.089,170.98
"399","Mt Hutt Skifield","H31451",4677,1980-07-19,1993-10-16,FALSE,-43.491,171.537
"400","Twizel Substation","H40212",4996,1985-03-31,1991-12-31,FALSE,-44.277,170.098
"401","Fairlie,Riverview Tce","H40183",4992,1979-02-28,1990-05-31,FALSE,-44.101,170.833
"402","Timaru Aero","H41323",5084,1971-12-31,1989-11-30,FALSE,-44.303,171.225
"403","Geraldine N.Z.F.S.","H41127",5060,1974-11-30,1989-06-30,FALSE,-44.102,171.239
"404","Ranfurly Maniototo","I50113",5280,1975-02-28,1989-06-30,FALSE,-45.126,170.098
"405","Aviemore 2","I40631",5118,1983-08-24,1988-09-12,FALSE,-44.659,170.353
"406","Mt John","H30941",4630,1962-12-31,1987-12-31,FALSE,-43.987,170.464
"407","Tasman Saddle Aws","H30532",4578,1985-06-02,1987-10-30,FALSE,-43.514,170.342
"408","Harihari N.Z.F.S.","F30153",4044,1971-12-31,1987-02-26,FALSE,-43.144,170.553
"409","Adair","H41411",5088,1971-12-31,1986-06-30,FALSE,-44.433,171.165
"410","Twizel","H40211",4995,1972-02-03,1986-05-31,FALSE,-44.249,170.092
"411","Omarama,Tara Hills","I49591",5211,1949-10-23,1985-12-31,FALSE,-44.529,169.888
"412","Timaru Gardens","H41421",5092,1885-04-07,1985-11-30,FALSE,-44.411,171.25
"413","Windsor M.A.F.","I50086",5272,1981-07-31,1985-11-30,FALSE,-45.017,170.817
